mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_bins,param_max_depth,param_max_iter,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4679821968078612,0.20275177725248622,0.0691640853881836,0.01217295671891423,0.0,0.06,255,7,400,10,"{'l2_regularization': 0.0, 'learning_rate': 0.06, 'max_bins': 255, 'max_depth': 7, 'max_iter': 400, 'min_samples_leaf': 10}",0.6665734302991608,0.6507873839059097,0.6924689437230748,0.6642904919081669,0.6423432887906644,0.6632927077253953,0.017077896465353962,1
1.4987823009490966,0.20166162480474742,0.06811103820800782,0.011305886821607847,0.0,0.06,255,7,800,10,"{'l2_regularization': 0.0, 'learning_rate': 0.06, 'max_bins': 255, 'max_depth': 7, 'max_iter': 800, 'min_samples_leaf': 10}",0.6665734302991608,0.6507873839059097,0.6924689437230748,0.6642904919081669,0.6423432887906644,0.6632927077253953,0.017077896465353962,1
1.6041194438934325,0.2279838593642933,0.07126045227050781,0.010937523474708687,0.0,0.06,255,7,200,10,"{'l2_regularization': 0.0, 'learning_rate': 0.06, 'max_bins': 255, 'max_depth': 7, 'max_iter': 200, 'min_samples_leaf': 10}",0.6665734302991608,0.6507873839059097,0.6924689437230748,0.6642904919081669,0.6423432887906644,0.6632927077253953,0.017077896465353962,1
1.4506377696990966,0.20889669357806542,0.0860283374786377,0.012582968324194631,0.0,0.06,255,5,200,50,"{'l2_regularization': 0.0, 'learning_rate': 0.06, 'max_bins': 255, 'max_depth': 5, 'max_iter': 200, 'min_samples_leaf': 50}",0.6718406796325811,0.6429754050936509,0.6938018311449796,0.6561053514218327,0.6477311832647554,0.6624908901115599,0.018478483696080284,4
1.673064947128296,0.24119569899106164,0.09758286476135254,0.016031634590868857,0.0,0.06,255,5,800,50,"{'l2_regularization': 0.0, 'learning_rate': 0.06, 'max_bins': 255, 'max_depth': 5, 'max_iter': 800, 'min_samples_leaf': 50}",0.6718406796325811,0.6429754050936509,0.6938018311449796,0.6561053514218327,0.6477311832647554,0.6624908901115599,0.018478483696080284,4
1.5094297409057618,0.2343774444762965,0.098828125,0.011946293427737306,0.0,0.06,255,5,400,50,"{'l2_regularization': 0.0, 'learning_rate': 0.06, 'max_bins': 255, 'max_depth': 5, 'max_iter': 400, 'min_samples_leaf': 50}",0.6718406796325811,0.6429754050936509,0.6938018311449796,0.6561053514218327,0.6477311832647554,0.6624908901115599,0.018478483696080284,4
2.4909974575042724,0.5302208973521028,0.11156463623046875,0.02559227268196644,0.0,0.03,255,7,400,10,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_bins': 255, 'max_depth': 7, 'max_iter': 400, 'min_samples_leaf': 10}",0.6670977335086714,0.6446868719213967,0.6967911341175609,0.6648999849747289,0.6359648166189305,0.6618881082282577,0.02108237364090826,7
2.637338399887085,0.5258937846213592,0.10999970436096192,0.020676747059772523,0.0,0.03,255,7,800,10,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_bins': 255, 'max_depth': 7, 'max_iter': 800, 'min_samples_leaf': 10}",0.6670977335086714,0.6446868719213967,0.6967911341175609,0.6648999849747289,0.6359648166189305,0.6618881082282577,0.02108237364090826,7
2.4836353778839113,0.528569340798826,0.11092662811279297,0.02106302105814123,0.0,0.03,255,7,200,10,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_bins': 255, 'max_depth': 7, 'max_iter': 200, 'min_samples_leaf': 10}",0.6670977335086714,0.6446868719213967,0.6967911341175609,0.6648999849747289,0.6359648166189305,0.6618881082282577,0.02108237364090826,7
1.0243849754333496,0.24421878367388103,0.06096405982971191,0.014079117782533556,0.1,0.1,255,5,400,50,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_bins': 255, 'max_depth': 5, 'max_iter': 400, 'min_samples_leaf': 50}",0.6607298106938533,0.6456026461630326,0.6931050945380748,0.6596993005976235,0.650137650919213,0.6618549005823595,0.01663680723095794,10
1.0298537254333495,0.25316671798214985,0.06297454833984376,0.014991386577114513,0.1,0.1,255,5,200,50,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_bins': 255, 'max_depth': 5, 'max_iter': 200, 'min_samples_leaf': 50}",0.6607298106938533,0.6456026461630326,0.6931050945380748,0.6596993005976235,0.650137650919213,0.6618549005823595,0.01663680723095794,10
1.0348953247070312,0.253810231746599,0.0631821632385254,0.012146556669049988,0.1,0.1,255,5,800,50,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_bins': 255, 'max_depth': 5, 'max_iter': 800, 'min_samples_leaf': 50}",0.6607298106938533,0.6456026461630326,0.6931050945380748,0.6596993005976235,0.650137650919213,0.6618549005823595,0.01663680723095794,10
1.0300536632537842,0.1498620017921118,0.0568202018737793,0.007474526888895002,0.1,0.1,255,7,200,50,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_bins': 255, 'max_depth': 7, 'max_iter': 200, 'min_samples_leaf': 50}",0.6693789973579045,0.6447535839522445,0.6855415642766834,0.6613860090442523,0.6471859111376126,0.6616492131537395,0.015002084346865693,13
1.0889212131500243,0.16215395761555632,0.06414241790771484,0.009970658169127903,0.1,0.1,255,7,400,50,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_bins': 255, 'max_depth': 7, 'max_iter': 400, 'min_samples_leaf': 50}",0.6693789973579045,0.6447535839522445,0.6855415642766834,0.6613860090442523,0.6471859111376126,0.6616492131537395,0.015002084346865693,13
